image_date,minx,miny,maxx,maxy,MEAN_SOLAR_ZENITH_ANGLE,CLOUDY_PIXEL_PERCENTAGE,AREA,VEGETATION_PERCENTAGE,THIN_CIRRUS_PERCENTAGE
2019-02-20_03-35-44,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,31.6015985872,7.084257,48PVQ,2.935014,0.180155
2019-02-10_03-35-44,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,33.8482428777,7.780678,48PVQ,2.660479,0.03278
2019-02-10_03-35-41,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,33.2005975427,7.851865,48PWQ,2.388791,0.090823
2019-02-10_03-35-08,105.91193437545276,9.859015679922392,106.76124625815756,10.854211396475144,33.9363031372,7.906962,48PXS,68.12107,2.629428
2019-02-25_03-35-32,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,30.9667364061,8.547095,48PVR,5.65817,1.482281
2019-02-15_03-35-35,103.59493395681936,8.95570763655247,104.17938983366636,9.950485237113282,34.0566365531,8.595436,48PUR,0.037609,0.0
2019-02-07_03-25-28,106.11203472449556,8.953454850958392,106.91356853559611,9.948852124702784,35.6219596786,8.619929,48PXR,5.442552,0.0
2019-02-25_03-34-59,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,31.4759441344,9.279244,48PWT,23.457095,0.000541
2019-02-15_03-35-29,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,32.7255639429,9.407732,48PWR,40.088636,3.6e-05
2019-02-20_03-35-40,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,30.905621721,9.717171,48PWQ,1.744888,0.000166
2019-02-10_03-35-29,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,34.5113279662,10.539975,48PVR,7.375556,3.6e-05
2019-02-13_03-45-13,103.17035059577822,9.85756950139428,104.17548258839211,10.854464395757088,33.3869077372,10.92705,48PUS,13.467783,4.747322
2019-02-03_03-45-13,103.17035103578527,9.85756950139428,104.17547097251332,10.854464395757088,35.5752838399,11.425125,48PUS,14.767729,0.387808
2019-02-25_03-35-34,103.59765593434952,8.955717234373449,104.17938983366636,9.950485237113282,31.6843820378,12.04946,48PUR,0.041141,0.0
2019-02-25_03-35-14,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,30.8597148895,12.714356,48PWS,44.97222,0.000123
2019-02-03_03-45-28,103.17560615147838,8.953902438142253,104.03692102968188,9.950111093913687,34.8545039083,13.026489,48PUR,0.122896,1.262868
2019-02-20_03-35-29,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,32.2119337874,13.24416,48PVR,5.099383,0.068201
2019-02-27_03-25-26,106.11585576729252,8.953454850958392,106.91356853559611,9.948836592256685,31.0308555851,13.488569,48PXR,4.531427,3.320332
2019-02-25_03-35-43,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,29.6667093504,13.850213,48PWQ,2.211041,3.86502
2019-02-28_03-45-15,103.17035103578527,9.85756950139428,104.17553836235784,10.854464395757088,29.5330289611,14.615905,48PUS,9.798935,0.334232
