image_date,minx,miny,maxx,maxy,MEAN_SOLAR_ZENITH_ANGLE,CLOUDY_PIXEL_PERCENTAGE,AREA,VEGETATION_PERCENTAGE,THIN_CIRRUS_PERCENTAGE
2019-05-21_03-35-04,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,21.0507059052,43.425386,48PWT,22.009239,16.028418
2019-05-11_03-35-37,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,21.6727129759,43.499457,48PVR,2.132654,15.973975
2019-05-26_03-35-38,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,22.341658645,45.445926,48PWR,19.880186,8.725236
2019-05-31_03-35-35,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,23.6072380411,46.440274,48PVR,1.445191,34.047222
2019-05-06_03-35-55,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,21.5813216524517,46.531734,48PVQ,2.184485,22.838527
2019-05-04_03-45-20,103.17035103578527,9.85756950139428,104.17545314967816,10.854464395757088,19.4810567077,47.309373,48PUS,4.135532,7.404532
2019-05-08_03-25-35,106.11040069500125,8.953454850958392,106.91356853559611,9.948858395471795,22.0707499220126,48.09615,48PXR,0.07478,21.285425
2019-05-13_03-25-25,106.29985136572266,9.857075849513782,106.9190801917226,10.85182473646801,22.1108230878,48.680764,48PXS,14.58531,12.606996
2019-06-20_03-35-22,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.6657808313,5.527619,48PVS,31.786782,1.138238
2019-06-20_03-35-37,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.1424246643,6.108782,48PVR,8.146486,0.316064
2019-06-20_03-35-08,104.08358964781654,10.76577099881297,105.08948704583928,11.76013322391822,24.2116487536,7.781772,48PVT,52.681112,3.779736
2019-06-20_03-35-15,105.91193437545276,9.85900736686452,106.7628644302437,10.854211396475144,23.2266090488,10.007722,48PXS,62.144673,5.236153
2019-06-20_03-35-04,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.4714574524,10.584654,48PWT,53.011191,6.009417
2019-06-20_03-35-19,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,23.9408099178,11.322767,48PWS,57.461947,5.521628
2019-06-13_03-45-34,103.17560615147838,8.953902438142253,104.04184734338996,9.950125260527605,23.4835759759,15.974733,48PUR,0.133154,10.912199
2019-06-20_03-35-25,103.79479397093608,9.86034842163882,104.17725512940856,10.854464395757088,25.399976304,18.496609,48PUS,26.660207,0.501574
2019-06-30_03-35-40,103.59165588006948,8.955694552973682,104.17938983366636,9.950485237113282,26.1725922962,18.527574,48PUR,0.049896,16.291545
2019-06-20_03-35-48,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,24.9464321664,20.634311,48PWQ,1.911543,10.934685
2019-06-15_03-35-08,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.1776271945,20.864034,48PWT,40.447253,4.536542
2019-06-30_03-35-52,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,25.9284802479,21.798126,48PVQ,3.332142,8.695844
2019-06-20_03-35-39,103.5954796192596,8.955709720705537,104.17938983366636,9.950485237113282,25.8619764571,24.942284,48PUR,0.027897,7.068441
2019-06-30_03-35-37,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.4438658109,25.193115,48PVR,1.843013,6.248387
2019-06-20_03-35-33,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,24.4327037146,29.508293,48PWR,24.691948,4.088692
2019-06-15_03-35-11,104.0833842425372,10.76577099881297,105.08948704583928,11.760133251660484,23.9179035791,30.806203,48PVT,30.576557,3.115288
2019-06-13_03-45-19,103.17035103578527,9.85756950139428,104.1755340174853,10.854464395757088,22.9859227895,30.866151,48PUS,17.3797,12.652376
2019-06-10_03-35-06,104.08352132704532,10.76577099881297,105.08948704583928,11.760133231477296,23.5857459647,31.048846,48PVT,37.001985,2.144841
2019-06-25_03-35-20,105.91193437545276,9.859035554730454,106.75740544146774,10.854211396475144,23.4075150815,32.432556,48PXS,43.001536,6.184212
2019-06-20_03-35-01,105.91454112647963,10.762229192721772,106.92510452852471,11.758657843410626,22.7413756872,33.301166,48PXT,48.216364,16.713144
2019-06-15_03-35-33,105.90956829950066,8.955997519031685,106.55292080638532,9.950253775617009,23.4416187576,33.653111,48PXR,20.974337,4.339034
2019-06-25_03-35-26,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.8529959247,33.778521,48PVS,13.615629,5.188961
2019-06-15_03-35-04,105.91454112647963,10.76224359164785,106.92510452852471,11.758657843410626,22.4475973857,34.006947,48PXT,42.210588,2.965807
2019-06-20_03-35-30,105.90956803063008,8.955987568111675,106.55538396399868,9.950254000246078,23.7343602756,34.351763,48PXR,24.291472,17.18913
2019-06-25_03-35-56,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,25.8191192678,34.372099,48PVQ,1.821062,16.439059
2019-06-25_03-35-41,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.3251447853,34.552383,48PVR,1.171247,13.18634
2019-06-25_03-35-44,103.5883777969271,8.955681294976863,104.17938983366636,9.950485237113282,26.0476666833,35.444782,48PUR,0.01097,21.267615
2019-06-12_03-25-38,106.10930722261443,8.953454850958392,106.91356853559611,9.948862762186074,25.1916618771,37.050546,48PXR,4.239173,18.941912
2019-06-20_03-35-51,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,25.6409566087,38.904447,48PVQ,1.344949,1.768262
2019-06-25_03-35-34,105.90956829950066,8.956008666721988,106.54918220197166,9.950253775617009,23.9103462316,42.270557,48PXR,20.0956,7.16776
2019-06-10_03-35-03,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,22.841671854,43.123561,48PWT,25.274473,6.351672
2019-06-25_03-35-30,103.78767946364944,9.860322265235023,104.17725512940856,10.854464395757088,25.5899674374,44.84757,48PUS,12.74097,6.500661
2019-06-25_03-35-52,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,25.1211966008,45.064186,48PWQ,1.407109,16.250871
2019-06-30_03-35-49,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,25.223759031,46.359566,48PWQ,1.408794,18.986502
2019-06-30_03-35-23,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.98133274,49.687492,48PVS,5.478578,4.398655
2019-07-08_03-45-40,103.17560615147838,8.953902438142253,104.03026244235652,9.95009188044924,24.1141672491,2.094917,48PUR,0.170072,0.913718
2019-07-10_03-35-09,104.08343909404702,10.76577099881297,105.08948704583928,11.760133243657547,24.5354603048,6.406034,48PVT,53.560603,0.234747
2019-07-07_03-25-21,106.30641668460429,9.857075849513782,106.9190801917226,10.851792182108122,25.563096723,9.371188,48PXS,42.209253,5.298552
2019-07-05_03-35-27,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.994172594,9.735669,48PVS,28.89289,4.643807
2019-07-30_03-35-08,104.0833292138227,10.76577099881297,105.08948704583928,11.760133221363992,23.6007273047,10.655364,48PVT,47.917706,3.192928
2019-07-05_03-35-09,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.8108112368,10.737369,48PWT,50.030392,0.003802
2019-07-10_03-35-38,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.372194204,11.233841,48PVR,6.980428,0.067372
2019-07-27_03-25-36,106.10494039200184,8.953454850958392,106.91356853559611,9.948880102949488,25.0476887694,11.315493,48PXR,6.409031,3.58515
2019-07-10_03-35-16,105.91193437545276,9.859038014773622,106.75739608182477,10.854211396475144,23.4415685597,11.376113,48PXS,60.778373,1.170794
2019-07-05_03-35-30,103.78494961500792,9.860313049594549,104.17725512940856,10.854464395757088,25.7453999211,13.014152,48PUS,20.758812,0.093712
2019-07-07_03-25-36,106.1071233465306,8.953454850958392,106.91356853559611,9.948869262857286,26.0000313518,13.751962,48PXR,8.941458,11.112962
2019-07-10_03-35-31,105.90956829950066,8.956009828015059,106.54863500691162,9.950253775617009,23.9011333384,15.221286,48PXR,31.24131,1.935649
2019-07-12_03-25-25,106.30204328409394,9.857075849513782,106.9190801917226,10.851811242790395,25.4576686214,15.261658,48PXS,37.529731,3.654622
2019-07-13_03-45-36,103.17560615147838,8.953902438142253,104.03135782008256,9.950095061443,23.9628100889,15.448597,48PUR,0.173211,8.526731
2019-07-10_03-35-20,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,24.187278422,16.108579,48PWS,50.297588,0.429912
2019-07-05_03-35-12,104.08343909404702,10.76577099881297,105.08948704583928,11.76013323979905,24.5684336095,16.164079,48PVT,42.396206,0.851425
2019-07-10_03-35-41,103.58892767005516,8.955684172315511,104.17938983366636,9.950485237113282,26.1205950693,16.173631,48PUR,0.045383,7.768365
2019-07-12_03-25-11,106.50162321195404,10.761188228150424,106.92510452852471,11.754940492443383,25.0636630079,16.381577,48PXT,52.662438,1.188607
2019-07-10_03-35-49,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,25.0997436028,16.634689,48PWQ,2.601886,10.760465
2019-07-10_03-35-23,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.9418945379,16.636372,48PVS,27.115616,2.830525
2019-07-10_03-35-06,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.7667095739,17.497742,48PWT,41.783097,0.644666
2019-07-05_03-35-24,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,24.2510351392,18.267628,48PWS,45.609349,4.282489
2019-07-28_03-45-39,103.17560615147838,8.953902438142253,104.02980714475066,9.950090568552936,22.9418947422,19.376338,48PUR,0.119078,13.448304
2019-07-13_03-45-21,103.17035103578527,9.85756950139428,104.17541014433894,10.854464395757088,23.5261454873,19.392911,48PUS,11.275096,2.260036
2019-07-10_03-35-27,103.78876972086115,9.86032554729964,104.17725512940856,10.854464395757088,25.703986743,20.423447,48PUS,25.319019,8.048607
2019-07-10_03-35-35,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,24.6318914966,20.627641,48PWR,28.448573,1.733403
2019-07-10_03-35-52,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,25.8256178879,21.168875,48PVQ,3.662075,14.760107
2019-07-05_03-35-41,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.4430479568,23.817147,48PVR,5.035806,10.568877
2019-07-27_03-25-21,106.30368140112212,9.857075849513782,106.9190801917226,10.85180580072858,24.7188900443,25.091127,48PXS,30.755216,3.352033
2019-07-12_03-25-40,106.10330319211448,8.953454850958392,106.91356853559611,9.948886577418998,25.8749062323,29.015714,48PXR,5.040154,17.846067
2019-07-05_03-35-35,105.90956829950066,8.95601776127124,106.54690226179288,9.950253775617009,23.9961353828,29.921787,48PXR,23.098767,7.714994
2019-07-08_03-45-25,103.17035103578527,9.85756950139428,104.17539329688998,10.854464395757088,23.6555182464,30.675274,48PUS,11.192623,5.787374
2019-07-05_03-35-20,105.91193437545276,9.859046287870934,106.7541121313875,10.854211396475144,23.5174511629,31.197478,48PXS,39.04168,2.477117
2019-07-20_03-35-49,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,24.5801008582,31.211177,48PWQ,2.04498,11.033022
2019-07-05_03-35-38,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,24.7145025913,33.093098,48PWR,24.278104,8.56653
2019-07-10_03-35-02,105.91454112647963,10.76226405926282,106.92510452852471,11.758657843410626,23.0061701267,33.397546,48PXT,43.440309,2.117035
2019-07-20_03-35-31,105.90956829950066,8.956015554023443,106.54699352007027,9.950253775617009,23.4001065135,33.502177,48PXR,25.999558,5.820788
2019-07-22_03-25-25,106.3020401409623,9.857075849513782,106.9190801917226,10.851811242790395,25.0256439629,34.226432,48PXS,29.74337,21.62842
2019-07-30_03-35-26,103.78604011539538,9.86031706051952,104.17725512940856,10.854464395757088,24.7010137755,35.816727,48PUS,17.259757,23.532128
2019-07-22_03-25-40,106.10330346125684,8.953454850958392,106.91356853559611,9.948886577418998,25.3890441789,35.841992,48PXR,6.978588,32.201186
2019-07-30_03-35-05,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,22.7724727776,36.181648,48PWT,31.158873,16.730142
2019-07-05_03-35-06,105.91454112647963,10.7622752494961,106.92510452852471,11.758657843410626,23.0620738527,37.118015,48PXT,41.491368,0.034902
2019-07-05_03-35-44,103.5861994285,8.955674407296119,104.17938983366636,9.950485237113282,26.1802954921,37.326235,48PUR,0.054298,10.71654
2019-07-15_03-35-27,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,24.7748517734,41.208227,48PVS,15.768318,28.053635
2019-07-30_03-35-23,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,23.8803102113,41.460676,48PVS,20.492481,20.126142
2019-07-15_03-35-12,104.0834597409052,10.76577099881297,105.08948704583928,11.760133241240863,24.3921160261,42.205073,48PVT,31.672639,28.405628
2019-07-20_03-35-35,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,24.1616411863,43.595313,48PWR,19.118744,8.687536
2019-07-30_03-35-20,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,23.063681786,46.983702,48PWS,27.999106,5.277063
2019-08-19_03-35-38,103.58946906954915,8.95568626751191,104.17938983366636,9.950485237113282,23.1562636396,13.615372,48PUR,0.044012,8.875048
2019-08-19_03-35-50,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,22.4128058816,15.395443,48PVQ,4.202873,8.699735
2019-08-19_03-35-35,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,22.2842456433,15.878842,48PVR,6.420197,6.589556
2019-08-19_03-35-47,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,21.5486625826,18.052548,48PWQ,2.574364,10.571093
2019-08-14_03-35-10,104.0835110479179,10.76577099881297,105.08948704583928,11.760133223062796,22.4673810191,19.436233,48PVT,46.758059,5.233651
2019-08-19_03-35-03,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,21.2481745215,19.799995,48PWT,43.219253,7.534167
2019-08-19_03-35-24,103.78822857019372,9.860324323619317,104.17725512940856,10.854464395757088,23.0676615852,20.343253,48PUS,22.993976,6.385154
2019-08-12_03-45-34,103.17560623948354,8.953902438142253,104.03026244235652,9.95009188044924,21.4586008008,22.838015,48PUR,0.168433,10.791117
2019-08-19_03-35-21,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,22.1900400608,26.114612,48PVS,24.881443,6.57322
2019-08-19_03-35-06,104.08349740149129,10.76577099881297,105.08948704583928,11.76013321756836,22.1304097602,26.116638,48PVT,45.643118,14.309776
2019-08-19_03-35-00,105.91454112647963,10.762269193698964,106.92510452852471,11.758657843410626,20.366540807,26.886867,48PXT,44.821858,0.864829
2019-08-14_03-35-07,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,21.5949862462,27.216293,48PWT,35.424706,11.309826
2019-08-14_03-35-25,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,22.5913377742,28.941271,48PVS,25.141305,15.619616
2019-08-21_03-25-36,106.1082175244318,8.953454850958392,106.91356853559611,9.948864902693431,22.7623773434,29.025451,48PXR,4.12505,13.468727
2019-08-19_03-35-14,105.91193437545276,9.859038676687442,106.75574042117287,10.854211396475144,20.4360408586,29.990949,48PXS,36.016306,4.057096
2019-08-19_03-35-32,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,21.4127988061,32.963328,48PWR,21.615823,3.929093
2019-08-19_03-35-18,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,21.3125500639,33.444203,48PWS,30.302706,1.904029
2019-08-14_03-35-21,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,21.7259958734,38.051488,48PWS,29.649696,3.389379
2019-08-04_03-35-52,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,23.2076920328,38.124993,48PWQ,1.480267,6.692078
2019-08-31_03-25-35,106.11148896986587,8.953454850958392,106.91356853559611,9.948856256166769,22.0483003387,40.698177,48PXR,1.316306,10.618062
2019-08-01_03-25-10,106.50217181390671,10.761188228150424,106.92510452852471,11.754936948177942,24.0738997804,41.90209,48PXT,34.805459,16.430961
2019-08-14_03-35-18,105.91193437545276,9.85903388934512,106.75740544146774,10.854211396475144,20.8625860383,42.689894,48PXS,34.909013,2.625491
2019-08-14_03-35-28,103.78768556482098,9.860322945927864,104.17725512940856,10.854464395757088,23.4576680593,44.902943,48PUS,24.488734,32.74408
2019-08-14_03-35-03,105.91454112647963,10.762258930143844,106.92510452852471,11.758657843410626,20.7239705667,46.18133,48PXT,31.663489,3.884103
2019-08-19_03-35-29,105.90956829950066,8.956012554219578,106.54854383784162,9.950253775617009,20.5428239052,48.928109,48PXR,18.263695,8.752155
2019-08-21_03-25-21,106.3075107005477,9.857075849513782,106.9190801917226,10.851786728288031,22.6918991506,49.041633,48PXS,17.756034,6.497677
2019-09-25_03-25-17,106.30970045644824,9.857075849513782,106.9190801917226,10.851778621833285,22.9679095678,6.430343,48PXS,40.983853,2.273327
2019-09-23_03-35-35,103.5998365238136,8.955724884241974,104.17938983366636,9.950485237113282,22.5195261015,15.377835,48PUR,0.046682,12.278879
2019-09-25_03-25-32,106.10820792477944,8.953454850958392,106.91356853559611,9.948856256166769,22.5115663125,15.425707,48PXR,6.817185,12.149684
2019-09-28_03-34-58,105.91454112647963,10.762259960274266,106.92510452852471,11.758657843410626,21.839039701,19.60729,48PXT,59.594023,2.190187
2019-09-23_03-35-44,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,20.4752399109,21.559487,48PWQ,0.719098,17.164353
2019-09-23_03-35-15,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,21.3634895263,27.237796,48PWS,25.474256,2.653764
2019-09-28_03-35-02,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,22.5663021629,27.296413,48PWT,39.658636,22.222637
2019-09-23_03-35-29,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,20.9054495298,29.407806,48PWR,11.699442,7.495646
2019-09-23_03-35-47,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,21.2926291266,29.686988,48PVQ,0.265119,12.073878
2019-09-11_03-45-29,103.17560579945784,8.953902438142253,104.03527967242198,9.95010635211153,19.5874786232,31.190756,48PUR,0.169126,26.866421
2019-09-23_03-35-32,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,21.7098040011,33.039824,48PVR,0.93725,7.448409
2019-09-23_03-35-18,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,22.1543984088,36.094753,48PVS,11.890007,5.180318
2019-09-05_03-25-31,106.1098518945494,8.953454850958392,106.91356853559611,9.94886062058682,21.8534864592,39.838193,48PXR,4.684668,11.35615
2019-09-23_03-35-00,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,21.8480982496,40.683208,48PWT,19.861016,15.548651
2019-09-23_03-35-26,105.90956829950066,8.955966199381608,106.5614017587459,9.950253775617009,20.1078714625,43.826392,48PXR,18.911536,8.643816
2019-09-23_03-34-56,105.91454112647963,10.762192149524266,106.92510452852471,11.758657843410626,21.0793114201,44.002293,48PXT,30.468684,1.418047
2019-09-28_03-35-31,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,21.4896709685,45.355798,48PWR,6.258152,2.840705
2019-09-23_03-35-11,105.91193437545276,9.858979958157532,106.768379353325,10.854211396475144,20.5801731052,45.863829,48PXS,28.093514,18.552101
2019-09-01_03-45-31,103.17560615147838,8.953902438142253,104.03354505809288,9.950101290354532,19.7650996896,46.416602,48PUR,0.050018,10.564277
2019-09-06_03-45-33,103.17560623948354,8.953902545847505,104.03956660621849,9.950118698803218,19.586044567,47.205755,48PUR,0.162834,40.408751
2019-09-28_03-35-27,105.90956829950066,8.956007964832308,106.54963813898743,9.950253775617009,20.7319809258,47.247456,48PXR,10.303085,1.01532
2019-10-03_03-35-45,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,21.6874498823,4.465387,48PWQ,2.964542,0.810054
2019-10-13_03-35-45,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,23.5402385582,8.712891,48PWQ,3.07426,3.295254
2019-10-03_03-35-04,104.08349394557824,10.76577099881297,105.08948704583928,11.76013322305257,24.1442074743,11.21649,48PVT,60.084969,3.981514
2019-10-11_03-45-19,103.17035103578527,9.85756950139428,104.17539276486532,10.854464395757088,23.9603512169,11.334293,48PUS,16.415343,3.714162
2019-10-03_03-35-12,105.91193437545276,9.85899233884972,106.76591009956398,10.854211396475144,22.1419401403,12.693882,48PXS,47.44809,1.862825
2019-10-13_03-35-49,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,24.1979750059,14.719848,48PVQ,3.478057,7.940402
2019-10-15_03-25-19,106.30313431292718,9.857075849513782,106.9190801917226,10.85180580072858,26.4286036441,14.797459,48PXS,39.161775,4.133844
2019-10-26_03-45-17,103.17035103578527,9.85756950139428,104.17549021408406,10.854464395757088,27.6867725404,15.909388,48PUS,16.622216,9.488693
2019-10-03_03-35-16,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,22.8412425631,15.982681,48PWS,30.139762,3.897453
2019-10-03_03-34-57,105.91454112647963,10.76221073461168,106.92510452852471,11.758657843410626,22.7632757306,17.27032,48PXT,52.508509,0.606406
2019-10-03_03-35-48,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,22.4287545877,18.176818,48PVQ,3.410533,7.62734
2019-10-03_03-35-01,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.4474551857,18.297545,48PWT,34.887919,3.678076
2019-10-03_03-35-22,103.79643528263848,9.860353584156504,104.17725512940856,10.854464395757088,24.2744519093,18.7059,48PUS,22.085948,8.517275
2019-10-08_03-35-46,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,22.5405331902,19.561468,48PWQ,2.305994,8.761059
2019-10-13_03-35-37,103.59547546939108,8.955709720705537,104.17938983366636,9.950485237113282,25.5072831756,20.500087,48PUR,0.001992,14.205095
2019-10-16_03-45-18,103.17035103578527,9.85756950139428,104.17550564281088,10.854464395757088,25.1381476306,20.530088,48PUS,15.812823,11.223
2019-10-16_03-45-27,103.17560615147838,9.47294191162822,104.03984051240354,9.950119523960272,24.4209223658,20.951952,48PUR,0.033968,12.207925
2019-10-03_03-35-19,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,23.5526387307,21.012365,48PVS,26.371866,13.527554
2019-10-15_03-25-34,106.10439465718107,8.953454850958392,106.91356853559611,9.948882234722392,25.761850798,21.761756,48PXR,6.709924,12.194394
2019-10-13_03-35-05,104.08348021054016,10.76577099881297,105.08948704583928,11.760133245509548,26.1979201291,23.000991,48PVT,47.57809,0.112754
2019-10-13_03-34-58,105.91454112647963,10.76222095093901,106.92510452852471,11.758657843410626,24.98162566,23.260785,48PXT,49.77279,1.465303
2019-10-03_03-35-30,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,22.2543031228,24.214097,48PWR,18.006742,11.881749
2019-10-23_03-35-05,104.08343909404702,10.76577099881297,105.08948704583928,11.760133251660484,28.6095788339,24.348588,48PVT,49.356756,2.254935
2019-10-25_03-25-19,106.30203978174724,9.857075849513782,106.9190801917226,10.851813876349471,28.7811555362,24.529865,48PXS,37.196293,3.984135
2019-10-25_03-25-05,106.50107461142692,10.761188228150424,106.92510452852471,11.754943649420367,29.5179106313,25.138459,48PXT,45.404351,0.137309
2019-10-13_03-35-02,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,25.5821362693,26.089284,48PWT,29.187626,0.003958
2019-10-23_03-34-58,105.91454112647963,10.762228189782151,106.92510452852471,11.758657843410626,27.5351206814,27.858605,48PXT,39.53985,1.11028
2019-10-23_03-35-02,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,28.0641690799,28.32461,48PWT,31.382161,2.881815
2019-10-18_03-35-04,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,26.7868512032,28.435009,48PWT,38.434443,19.453429
2019-10-13_03-35-19,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,25.5175045266,28.810476,48PVS,21.352762,16.072658
2019-10-03_03-35-27,105.90956829950066,8.955976008338393,106.5586666298735,9.950253775617009,21.5395678281,28.871795,48PXR,22.330011,9.32467
2019-10-03_03-35-33,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,22.9805665932,28.948012,48PVR,5.467872,19.487698
2019-10-03_03-35-36,103.59711617870776,8.955715888317377,104.17938983366636,9.950485237113282,23.716674884,29.235482,48PUR,0.061805,20.459978
2019-10-26_03-45-32,103.17560615147838,8.953902438142253,104.03856453228524,9.950115825917258,26.9170999914,30.440994,48PUR,0.035769,26.28679
2019-10-30_03-25-17,106.31134070082814,9.857075849513782,106.9190801917226,10.85176512648567,30.0345005407,30.613466,48PXS,32.405031,12.779854
2019-10-23_03-35-12,105.91193437545276,9.859008189584284,106.76342980326022,10.854211396475144,26.7713745687,32.016576,48PXS,31.320113,8.684911
2019-10-18_03-35-25,103.78494961500792,9.86031298044806,104.17725512940856,10.854464395757088,27.2573240211,32.334852,48PUS,16.501005,15.583286
2019-10-13_03-35-23,103.7953351479556,9.860349057903507,104.17725512940856,10.854464395757088,26.1602912098,33.391832,48PUS,19.161044,19.809274
2019-10-18_03-35-18,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,26.0603880921,34.323949,48PWS,26.777041,21.58251
2019-10-21_03-45-20,103.17035103578527,9.85756950139428,104.17537396666155,10.854464395757088,26.3823673428,35.061001,48PUS,14.70965,16.766247
2019-10-05_03-25-33,106.10603177650196,8.953454850958392,106.91356853559611,9.94887797008472,23.8545696892,35.205818,48PXR,4.389458,21.258776
2019-10-23_03-35-19,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,27.8689117383,36.119644,48PVS,18.674284,10.305516
2019-10-23_03-35-16,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,27.3119071691,36.959592,48PWS,23.243083,16.943395
2019-10-18_03-35-21,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,26.6516307266,37.112455,48PVS,18.114373,25.213662
2019-10-18_03-35-14,105.91193437545276,9.859051190954322,106.75285562143308,10.854211396475144,25.4851579704,37.246263,48PXS,33.24129,9.445724
2019-10-13_03-35-16,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,24.8882156886,39.029164,48PWS,18.960433,8.595332
2019-10-05_03-25-18,106.30477522271634,9.857075849513782,106.9190801917226,10.851800358829236,24.4318213904,44.817951,48PXS,24.77823,25.530168
2019-10-16_03-45-34,103.1761481763126,8.953902175291551,103.9696381637004,9.848282185365624,24.4209223658,45.407406,48PUR,0.000804,20.187478
2019-11-27_03-35-00,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,36.6484119932,0.566956,48PWT,59.16754,0.000833
2019-11-22_03-34-58,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,35.6107576225,1.720204,48PWT,57.431573,1.263865
2019-11-22_03-35-01,104.08369864211176,10.765771015142654,105.08948704583928,11.760133227210703,36.04394623,1.932896,48PVT,74.729037,1.303093
2019-11-22_03-34-54,105.91454112647963,10.76219933014795,106.92510452852471,11.758657843410626,35.192342279,2.526693,48PXT,71.066773,0.559644
2019-11-27_03-34-57,105.91454112647963,10.762246693481076,106.92510452852471,11.758657843410626,36.2346950714,3.703826,48PXT,69.348258,0.512106
2019-11-27_03-35-35,103.59274091114077,8.955697965390124,104.17938983366636,9.950485215661471,35.9041242689,3.941275,48PUR,0.049536,0.911213
2019-11-19_03-25-14,106.31516996499444,9.857075849513782,106.9190801917226,10.851748589397262,34.9093287831,8.041554,48PXS,43.090782,3.720489
