,date,province,dewpoint_temperature_2m,temperature_2m,soil_temperature_level_4,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,Rainf_tavg,Rainf_f_tavg,CanopInt_inst,ECanop_tavg,Lwnet_tavg,Qs_acc,LWdown_f_tavg,Tveg_tavg,SoilMoi0_10cm_inst,Qair_f_inst,SoilMoi10_40cm_inst,SWdown_f_tavg,minx,maxx,miny,maxy
0,2019-01-01,Soc Trang,293.0757101650896,297.5560146488384,300.91318818642003,0.4062896512412084,0.4339359259957749,-0.565425883138121,-4.3700733227878565,101244.94289979732,9.9586099926944e-05,9.9586099926944e-05,0.2578614471087265,31.12357464553304,-12.606520920819632,0.0321328131771949,422.8409098586595,29.09192288128628,36.61850780972168,0.0141510966992963,109.48358178552178,84.8882155445959,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
1,2019-01-02,Soc Trang,294.15866318250136,295.60127910056525,300.8926655385687,0.426396337910043,0.4339285900635867,-1.5939210792676173,-4.7901614428741,101154.37240176648,0.0004397106234194,0.0004397106234194,0.499870124019984,55.12971493825748,-14.500901036868896,0.3863975089151046,415.283950232357,0.0002023121342062,41.00563270094768,0.0153771010200584,119.7393255895273,100.57460912252438,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
2,2019-01-03,Soc Trang,296.3408376721913,297.8353810496713,300.8707383135465,0.4472961242563032,0.4347903809915426,-6.562333410596614,-1.4401272944041663,101212.2729219584,0.0001867503610468,0.0001867503610468,0.4928135858536456,66.88215322163754,-34.385217217351666,0.0810997347492789,406.8914514442401,0.1833318273546618,40.36345634570701,0.0174250693579952,121.09837167111436,145.3147089743201,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
3,2019-01-04,Soc Trang,296.7019527347609,299.2928122277723,300.8489521728166,0.4545856626945958,0.4362845956398348,-5.856789211686608,-0.274319780127364,101296.93409036972,9.377957960137172e-05,9.377957960137172e-05,0.2725016292173825,52.08745765961666,-50.5063777300664,0.0520079444227148,396.3538011319376,25.1446521058248,39.405508474118456,0.017922248711508,119.24728212742448,178.06800311976087,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
4,2019-01-05,Soc Trang,296.42994588779897,299.6939042584649,300.8272313454664,0.4526686170418275,0.4374502633005526,-5.106559927279532,-0.8240052102234564,101298.48399720338,3.0234646350425864e-06,3.0234646350425864e-06,0.0469227785512406,10.36418452342122,-72.8417005263312,0.0,374.3291728069328,64.74287087655482,37.61556895757687,0.0174007414008431,115.13187400178414,239.398917633674,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
5,2019-01-06,Soc Trang,295.6326348146586,299.5916152478047,300.8064069231155,0.4493259642120262,0.4381341996842808,-5.606506188867128,-1.3560712077151766,101295.29353688809,1.777005012912545e-07,1.777005012912545e-07,0.0118020229589102,2.2394174597834406,-70.16069857095708,7.270592646881928e-07,378.48800443087015,76.24939131323315,36.62995500785078,0.0168728379578453,112.52442822428796,234.7871619538765,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
6,2019-01-07,Soc Trang,294.61557436725377,299.46210412524994,300.78650614671125,0.4456314622475008,0.4384918143205062,-5.285031414814966,-0.8801541434132993,101235.56224952532,1.2467485052311694e-07,1.2467485052311694e-07,0.0055901372448884,0.7478766607933524,-77.32872657555377,0.0,369.4232786983424,77.13801452603644,35.90829450133219,0.0162269062674846,110.557657258359,243.0762668455268,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
7,2019-01-08,Soc Trang,295.71599354109736,299.06137306263497,300.767589872263,0.44229592963784,0.4386563673786733,-4.730012269168847,-1.0684328673116876,101262.75417179803,9.613240672742013e-06,9.613240672742013e-06,0.0110150831457122,11.281712205768324,-61.30106191414631,0.0002849828498555,386.3596694593486,59.49394781465477,35.59542876171929,0.0165380686333112,109.25193669754648,204.60726363121435,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
8,2019-01-09,Soc Trang,295.5298503412206,299.3590803882367,300.7512411108158,0.4389499477956486,0.4386878688542909,-4.746540943390041,-0.9144396464812932,101281.70434337798,1.1822615847134494e-08,1.1822615847134494e-08,0.0074078757143438,0.9881737338839304,-68.57154224373703,1.0612355223238832e-06,380.8906926502383,78.56960708419713,34.950955740978266,0.0163247733002776,108.02911868122962,237.1671080175852,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
9,2019-01-10,Soc Trang,295.6507551559673,299.3153750533932,300.7361728649421,0.4354562397660881,0.4386203504352539,-4.589895609212038,-0.8135105051626322,101207.12512074738,2.352799813853496e-06,2.352799813853496e-06,0.0141086525190722,3.450873396946171,-74.68079055940485,3.463601858308296e-05,371.9635832902325,74.04616337153264,34.490657492180084,0.0162957303799322,106.7738553526774,241.51315874309205,105.544487281219,106.29362067441704,9.222357422604045,9.935960704508396
