province,minx,maxx,miny,maxy
Soc Trang,105.54448728121899,106.29362067441703,9.222357422604043,9.935960704508396
Tra Vinh,105.95179045022627,106.57993068474765,9.525955255052377,10.08155034080138
Vinh Long,105.68251872426956,106.28965209075999,9.881631018924143,10.33212058754154
Bac Lieu,105.23207819107861,105.86004447827872,9.015620078159596,9.636871003685163
Ca Mau,104.52285371840746,105.41919102263952,8.410881255220625,9.561159869216205
Can Tho city,105.22551888133967,105.81443674963094,9.920032814736352,10.325998260551989
Hau Giang,105.3286667510096,105.89689452564392,9.58245212371618,10.024469393813913
An Giang,104.77877044659901,105.5755315150172,10.183177730593927,10.96156729626376
Ben Tre,106.02812133180501,106.79137678166472,9.800894496376742,10.339995403704991
Dong Thap,105.1852665822807,105.94174409564891,10.134198983606884,10.973250132078466
Kien Giang,103.45860895043066,105.53917643483105,9.285337707844768,10.540770860075064
Long An,105.50005228649461,106.7465360113959,10.39429836911349,11.032239630920161
Tien Giang,105.81575220542813,106.78444735953131,10.201914891785595,10.587390759284455
