province,date,precipitation,minx,miny,maxx,maxy
An Giang,2019-01-01,1.8216400233389936,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-01,7.462849329237667,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-01,7.43973733145207,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-01,4.969412864536104,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-01,3.361631082371133,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-01,2.154282280490976,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-01,5.201822718206175,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-01,2.593516909179231,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-01,5.379654998635791,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-01,8.083463394358027,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-01,5.730670228113209,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2019-01-01,6.023660147977075,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2019-01-01,6.049616048290187,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2019-01-02,8.38792986883805,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-02,8.398297299906895,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-02,7.524290016627479,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-02,12.638388869227644,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-02,10.839050400298184,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-02,12.35876858646918,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-02,10.0560672262195,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-02,8.717837570148776,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-02,12.431446953412216,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-02,7.31312430875851,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-02,9.043945360527042,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2019-01-02,8.14244336824611,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2019-01-02,8.285184443858425,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2019-01-03,1.354015156755861,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-03,3.763590503251778,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-03,0.0,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-03,6.951047509485249,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-03,1.281473556146549,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-03,0.0,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-03,2.3745143825418698,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-03,3.5202418495585914,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-03,0.2132032344662731,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-03,2.1285733465557914,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-03,0.0,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2019-01-03,0.6760937735904724,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2019-01-03,0.1277487327798731,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2019-01-04,3.177810413093796,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-04,2.621879946488255,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-04,0.2047028291520106,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-04,3.760885697696021,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-04,1.931542463749544,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-04,0.290144950063531,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-04,2.749585973468532,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-04,3.884724421250659,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-04,0.0,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-04,0.3991260002439038,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-04,0.0,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2019-01-04,0.731657862122984,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2019-01-04,1.927674598784936,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2019-01-05,0.0,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-05,0.0,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-05,0.0,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-05,0.0,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-05,0.0,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-05,0.0,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-05,0.0,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-05,0.0,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-05,0.0,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-05,0.0,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-05,0.0,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2019-01-05,0.0,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2019-01-05,0.0,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2019-01-06,0.0,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2019-01-06,0.0,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2019-01-06,0.0,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2019-01-06,0.0001659719127049,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2019-01-06,0.0,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2019-01-06,0.0,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2019-01-06,0.0,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2019-01-06,0.0,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2019-01-06,0.0,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2019-01-06,0.0,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2019-01-06,0.0,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
