province,date,precipitation,Rainf_tavg,Rainf_f_tavg,CanopInt_inst,ECanop_tavg,Lwnet_tavg,Qs_acc,LWdown_f_tavg,Tveg_tavg,SoilMoi0_10cm_inst,Qair_f_inst,SoilMoi10_40cm_inst,SWdown_f_tavg,minx,maxx,miny,maxy
An Giang,2019-01-01,1.8216400233389936,2.082616885817145e-07,2.082616885817145e-07,0.0001084938135805,0.2305355900937007,-24.756635664581765,0.0,417.7713362157264,63.914421942079926,34.86965352075464,0.0130962868672033,107.59806541957096,144.33798122274828,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-02,8.38792986883805,0.00013844342538,0.00013844342538,0.3939158373308641,51.63317933010433,-15.744041554373592,0.0714886962917173,416.8672558602145,9.872572006537304,36.699096548508095,0.0143937998934247,108.60035265853024,100.10272279762992,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-03,1.354015156755861,0.0001045279989137,0.0001045279989137,0.3932372770455385,46.48472897976925,-25.45799979087904,0.0496810037595318,414.6687092735155,17.944724174772368,37.50488741427374,0.0160516345940089,111.2519981929984,132.8031430041118,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-04,3.177810413093796,0.0001049630077194,0.0001049630077194,0.4070504616172229,61.76020869001891,-43.33779319018085,0.0726553262052852,400.7687635461106,9.226191490519655,38.04360799382773,0.0173072196399739,113.18866333049796,151.3425552808927,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-05,0.0,2.0152252715424637e-06,2.0152252715424637e-06,0.0768939995858946,15.311734882804684,-73.86086347178549,0.0,369.7863351856007,59.982526671607694,36.57377194243252,0.016650717021408,111.3688980847638,241.37423649385184,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-06,0.0,2.498062260509302e-05,2.498062260509302e-05,0.1900700677040211,10.421558799409148,-72.1438260137461,0.0127895403419351,373.1678269922816,64.3573363434006,36.05299780949274,0.0160359605068169,109.39107649854324,238.138566532686,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-07,0.0,0.0,0.0,0.0513047614657516,10.338822129340087,-75.4364554708237,0.0,367.3330556667491,72.2294994469686,35.249502020656166,0.0147010060417961,108.00948594000184,243.5325302166001,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-08,0.0,4.455605191288447e-06,4.455605191288447e-06,0.02654074986774,5.452481977959284,-70.53925391174904,0.0002248100036525,374.0286400964205,68.64920605655549,34.7083511168888,0.0151808956366396,106.40808968629275,228.5166244716723,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-09,0.0,1.405691194879665e-07,1.405691194879665e-07,0.0128386344989964,1.9372936655271495,-70.1402526656076,1.0961141401227571e-06,375.275470654935,75.11802632936586,34.14253129263856,0.0152463671582221,105.09045741253084,237.3585884692417,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-10,0.0,5.104917493993976e-06,5.104917493993976e-06,0.0180849383964345,6.428714848942083,-74.777445938761,0.0002278877285178,369.8798639436536,72.44711675998106,33.722742051829,0.0154585997142317,103.89005776448629,244.3430402774102,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-11,0.0,3.250077398144248e-06,3.250077398144248e-06,0.0157818085676702,5.010876737565746,-47.5907261624133,0.0001800919913835,402.6957257256384,62.00598039063004,33.42571805825425,0.0154056900624119,102.93975664267352,195.38589846940283,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-12,0.0,5.712010853347205e-05,5.712010853347205e-05,0.226032926904696,11.98063187684449,-41.26374222651801,0.0420769427674529,412.9605104218161,61.52546507980999,34.099974484030454,0.0157312339375454,102.68779751490368,188.7699552638331,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-13,0.0,1.9513755277883305e-06,1.9513755277883305e-06,0.0727619485752823,12.042954013304993,-69.93335646218742,0.0001205201172254,377.9613010453719,65.73950085646514,33.808405469503505,0.0148566760650568,103.0587298512623,235.30098368606676,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-14,0.0,0.0,0.0,0.0085336143822515,1.6517065444543568,-74.85613688346936,0.0,371.9144583889675,75.15005698328663,33.087776965911324,0.0142332109304957,101.89062483209035,247.40719459670123,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-15,0.6459414959634071,3.712345227055539e-06,3.712345227055539e-06,0.034056568598987,1.0985385158203,-54.80430815013272,0.0002220306113382,404.08590771702654,81.73138828881014,32.522704941698414,0.0147816107846653,100.70265675771684,244.13902327840563,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-16,0.4024360702338595,7.151403996634189e-05,7.151403996634189e-05,0.2649828137831821,29.50367489643139,-39.39572857170682,0.0447698956503408,416.9027976307613,46.50662160608432,33.65843548571391,0.0157431375934771,100.7837380956259,194.0659609851024,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-17,0.0,7.475584441371909e-07,7.475584441371909e-07,0.0488334771609535,11.128064905924845,-45.79570201732107,1.844910586149244e-06,406.1144885833195,66.97869112206293,33.094895846906034,0.0145855982367723,101.12708594152986,201.17102976383177,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-18,0.0,0.0,0.0,0.0001495013802948,0.0504040584007234,-57.23892134780569,0.0,393.18729926401846,81.85340347709813,32.17043254070466,0.0134720033511232,99.79378172128038,232.23436817867065,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-19,0.0,0.0,0.0,8.596974273533799e-07,9.456671200477438e-05,-35.55164412455185,0.0,409.3112901060584,47.61381177364387,31.892079542230874,0.0133696061026105,98.81881277826828,115.99335499150884,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-20,0.0,1.2508596973437469e-08,1.2508596973437469e-08,0.0024765303394945,0.0255278546606194,-65.31600227775732,3.051925645047676e-07,385.6517829527717,76.85660601252539,31.41068013334209,0.0143483632194208,97.8898339829058,228.957693065869,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-21,0.0,2.964062870544012e-05,2.964062870544012e-05,0.1283387220304516,5.673366398316138,-61.7189278425508,0.0171171706544925,391.15507066561406,69.86604740137577,31.46647696645913,0.0154543383638829,97.14710460174857,225.8300225364129,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-22,0.0,5.706507965459033e-06,5.706507965459033e-06,0.080497592549894,10.297686738152946,-67.8372680317749,0.0001490801225245,380.5303462892976,78.2203835142364,31.17339259623825,0.0142078356467638,96.96834178541516,243.54193714461923,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-23,0.0661752065931899,7.359009781802525e-09,7.359009781802525e-09,0.0247199963302667,4.895658532918484,-36.27749940224167,2.622076962646596e-07,401.6418036417588,47.20150316860195,30.846604841775378,0.0128414074940276,96.16822027340224,112.41964298232548,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
An Giang,2019-01-24,0.0,0.0,0.0,0.0063420734613265,0.8855287181789973,-81.04385141952496,6.189821026575569e-07,356.0071368105966,79.51601665711961,30.322359683261126,0.0124027588561003,95.26050705102976,253.9548986715661,104.778770446599,105.5755315150172,10.183177730593927,10.96156729626376
