VV_mean,VH_mean,RVI_mean,Total_Backscatter_mean,Diff_Backscatter_mean,VV_VH_ratio_mean,DPSVI_mean,angle_mean,province,time,date,rainfall_3_days
-9.454242638714263,-17.04641885938495,2.6196191073116246,-26.50066149809907,7.592176220670627,0.5481794142091656,-13.250330749049535,38.104723241155924,An Giang,1672872334000,2023-01-04 22:45:34,0.9037082683060884
-9.454242638714263,-17.04641885938495,2.6196191073116246,-26.50066149809907,7.592176220670627,0.5481794142091656,-13.250330749049535,38.104723241155924,Dong Thap,1672872334000,2023-01-04 22:45:34,1.5227343413411607
-9.454242638714263,-17.04641885938495,2.6196191073116246,-26.50066149809907,7.592176220670627,0.5481794142091656,-13.250330749049535,38.104723241155924,Kien Giang,1672872334000,2023-01-04 22:45:34,1.33776631190515
-9.454242638714263,-17.04641885938495,2.6196191073116246,-26.50066149809907,7.592176220670627,0.5481794142091656,-13.250330749049535,38.104723241155924,Long An,1672872334000,2023-01-04 22:45:34,2.1732860880541947
-9.454242638714263,-17.04641885938495,2.6196191073116246,-26.50066149809907,7.592176220670627,0.5481794142091656,-13.250330749049535,38.104723241155924,Tien Giang,1672872334000,2023-01-04 22:45:34,1.7201133759004845
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Soc Trang,1672872359000,2023-01-04 22:45:59,2.4761269935495758
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Tra Vinh,1672872359000,2023-01-04 22:45:59,1.8261064960873012
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Vinh Long,1672872359000,2023-01-04 22:45:59,2.2951280336306894
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Bac Lieu,1672872359000,2023-01-04 22:45:59,2.5660642540807252
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Ca Mau,1672872359000,2023-01-04 22:45:59,1.8530602748781682
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Can Tho city,1672872359000,2023-01-04 22:45:59,1.2724880722687484
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Hau Giang,1672872359000,2023-01-04 22:45:59,2.2343534894164327
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,An Giang,1672872359000,2023-01-04 22:45:59,0.9037082683060884
-9.222142538201826,-16.360197832682736,2.5927802127888944,-25.582340370884527,7.138055294480928,0.5564363886692536,-12.791170185442263,38.755908225795295,Ben Tre,1672872359000,2023-01-04 22:45:59,1.610048749898466
